epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2396.91,1.06908,0.84128,1.29672,0.96806,0.86597,0.94476,0.61833,1.16647,0.70655,1.39107,0.00675546,0.00675546,0.00675546
43,2461.6,1.06845,0.82396,1.29199,0.94826,0.78553,0.91856,0.62891,1.13115,0.82889,1.35922,0.0066191,0.0066191,0.0066191
44,2526.3,1.02707,0.78972,1.25952,0.90826,0.84861,0.92312,0.62928,1.19578,0.73671,1.42613,0.00648164,0.00648164,0.00648164
45,2584.92,1.00127,0.75941,1.2418,0.87523,0.87143,0.93439,0.63777,1.16617,0.70036,1.35906,0.00634322,0.00634322,0.00634322
46,2649.87,1.00211,0.74619,1.25249,0.96062,0.84286,0.93147,0.63801,1.18754,0.69425,1.38569,0.00620396,0.00620396,0.00620396
47,2712.85,0.98458,0.73377,1.23202,0.8297,0.85714,0.89732,0.62168,1.14217,0.78012,1.36924,0.006064,0.006064,0.006064
48,2778.12,0.99588,0.73948,1.23686,0.8284,0.81429,0.84561,0.58532,1.18265,0.81417,1.43241,0.00592349,0.00592349,0.00592349
49,2840.77,1.01888,0.75693,1.25303,0.90355,0.78571,0.91631,0.61263,1.2159,0.77893,1.42146,0.00578256,0.00578256,0.00578256
50,2905.98,0.99268,0.73062,1.23512,0.95269,0.8631,0.94471,0.65022,1.17282,0.63097,1.36669,0.00564135,0.00564135,0.00564135
51,2970.9,0.97229,0.70528,1.22282,1,0.82371,0.94728,0.64716,1.16979,0.63942,1.38662,0.0055,0.0055,0.0055
52,3035.86,0.96019,0.70381,1.22023,0.8854,0.87143,0.94165,0.66831,1.07912,0.65722,1.32493,0.00535865,0.00535865,0.00535865
53,3093.3,0.95126,0.7008,1.22093,0.90564,0.88571,0.91914,0.6712,1.07721,0.64679,1.30402,0.00521744,0.00521744,0.00521744
54,3156.27,0.93175,0.68492,1.20176,0.96261,0.84286,0.94332,0.64941,1.15802,0.64746,1.39264,0.00507651,0.00507651,0.00507651
55,3216.22,0.92258,0.66978,1.19219,0.96854,0.87962,0.95124,0.65138,1.13503,0.62266,1.34656,0.004936,0.004936,0.004936
56,3274.2,0.9467,0.69446,1.19968,0.9855,0.81429,0.93472,0.6665,1.09405,0.62474,1.32803,0.00479604,0.00479604,0.00479604
57,3339.02,0.90708,0.65929,1.1885,0.93402,0.84286,0.95216,0.67536,1.08189,0.60201,1.31538,0.00465678,0.00465678,0.00465678
58,3399.54,0.90855,0.65127,1.18237,0.94693,0.71429,0.85115,0.58199,1.23002,0.90594,1.42053,0.00451836,0.00451836,0.00451836
59,3461.17,0.91708,0.68431,1.20556,0.94266,0.84286,0.95052,0.66299,1.11549,0.59646,1.35532,0.0043809,0.0043809,0.0043809
60,3527.25,0.92401,0.68515,1.22093,0.94231,0.85714,0.94471,0.64813,1.07719,0.59499,1.30981,0.00424454,0.00424454,0.00424454
61,3588.11,0.89429,0.67698,1.18516,0.93068,0.82857,0.94084,0.65799,1.07127,0.62483,1.3049,0.00410942,0.00410942,0.00410942
62,3648.58,0.88275,0.65026,1.16949,0.92306,0.85699,0.90546,0.62927,1.09499,0.62898,1.33335,0.00397568,0.00397568,0.00397568
63,3713.43,0.92235,0.68736,1.18739,0.91366,0.87143,0.94283,0.64437,1.16554,0.65868,1.39326,0.00384344,0.00384344,0.00384344
64,3777.38,0.87539,0.633,1.17595,0.91279,0.8972,0.94046,0.63695,1.17003,0.64037,1.40365,0.00371283,0.00371283,0.00371283
65,3838.75,0.86002,0.6295,1.16365,0.98404,0.88101,0.92913,0.63662,1.15947,0.64028,1.38564,0.00358399,0.00358399,0.00358399
66,3900.67,0.89488,0.65839,1.17604,0.89814,0.91429,0.96563,0.65413,1.16151,0.62512,1.40228,0.00345704,0.00345704,0.00345704
67,3961.15,0.87028,0.62154,1.1503,0.96754,0.85181,0.95203,0.66046,1.15938,0.60455,1.39673,0.00333211,0.00333211,0.00333211
68,4023.3,0.86592,0.61733,1.17053,0.93692,0.8,0.94476,0.65581,1.11211,0.59405,1.32337,0.00320931,0.00320931,0.00320931
69,4080.32,0.82807,0.59757,1.12929,0.91105,0.87798,0.95953,0.65395,1.11134,0.57377,1.33793,0.00308878,0.00308878,0.00308878
70,4137.94,0.84065,0.62611,1.15491,0.89471,0.91429,0.9628,0.65632,1.11564,0.58952,1.36404,0.00297062,0.00297062,0.00297062
71,4197.27,0.81327,0.61708,1.14588,0.93837,0.87012,0.93744,0.6529,1.08902,0.56828,1.34305,0.00285497,0.00285497,0.00285497
